Total: 105 poems

20100428-《新韵·楚王是何人》.md | title=《新韵·楚王是何人》 | genre=诗 | ci= | rhyme=中华新韵 | date=2010-04-17 | year=2010
20130817-《新韵·三更听雨尽》.md | title=《新韵·三更听雨尽》 | genre=诗 | ci= | rhyme=中华新韵 | date=2013-08-21 | year=2013
20130825-《新韵·一窗冷月生》.md | title=《新韵·一窗冷月生》 | genre=诗 | ci= | rhyme=中华新韵 | date=2013-08-20 | year=2013
20140412-《新韵·美梦》.md | title=《新韵·美梦》 | genre=诗 | ci= | rhyme=中华新韵 | date=2014-04-14 | year=2014
20140413-《新韵·花上月一轮》.md | title=《新韵·花上月一轮》 | genre=诗 | ci= | rhyme=中华新韵 | date=2014-04-26 | year=2014
20140513-《新韵·独坐楼台》.md | title=《新韵·独坐楼台》 | genre=诗 | ci= | rhyme=中华新韵 | date=2014-05-16 | year=2014
20140606-《新韵·黄昏》.md | title=《新韵·黄昏》 | genre=诗 | ci= | rhyme=中华新韵 | date=2014-06-24 | year=2014
20140625-《新韵·古剑难寻》.md | title=《新韵·古剑难寻》 | genre=诗 | ci= | rhyme=中华新韵 | date=2014-06-08 | year=2014
20140626-《新韵·浅草清风》.md | title=《新韵·浅草清风》 | genre=诗 | ci= | rhyme=中华新韵 | date=2014-06-15 | year=2014
20140908-《新韵·夜深独归》.md | title=《新韵·夜深独归》 | genre=诗 | ci= | rhyme=中华新韵 | date=2014-09-13 | year=2014
20150212-《新韵·感圣瓦伦丁节》.md | title=《新韵·感圣瓦伦丁节》 | genre=诗 | ci= | rhyme=中华新韵 | date=2015-02-16 | year=2015
20150403-《新韵·读逐林而居有感》.md | title=《新韵·读逐林而居有感》 | genre=诗 | ci= | rhyme=中华新韵 | date=2015-04-14 | year=2015
20150407-《新韵·孤眠梦扰人》.md | title=《新韵·孤眠梦扰人》 | genre=诗 | ci= | rhyme=中华新韵 | date=2015-04-26 | year=2015
20150514-《新韵·小字初约后》.md | title=《新韵·小字初约后》 | genre=诗 | ci= | rhyme=中华新韵 | date=2015-05-30 | year=2015
20150801-《新韵·孤月高楼冷》.md | title=《新韵·孤月高楼冷》 | genre=诗 | ci= | rhyme=中华新韵 | date=2015-08-26 | year=2015
20150903-《新韵·风中无字》.md | title=《新韵·风中无字》 | genre=诗 | ci= | rhyme=中华新韵 | date=2015-09-13 | year=2015
20150907-《新韵·犬吠出深巷》.md | title=《新韵·犬吠出深巷》 | genre=五绝 | ci= | rhyme=中华新韵 | date=2015-09-30 | year=2015
20160217-《新韵·入梦》.md | title=《新韵·入梦》 | genre=诗 | ci= | rhyme=中华新韵 | date=2012-02-09 | year=2012
20160518-《新韵·得闲》.md | title=《新韵·得闲》 | genre=诗 | ci= | rhyme=中华新韵 | date=2016-05-23 | year=2016
20160805-《新韵·应照小轩窗》.md | title=《新韵·应照小轩窗》 | genre=诗 | ci= | rhyme=中华新韵 | date=2016-08 | year=2016
20160912-《新韵·浮云难入梦》.md | title=《新韵·浮云难入梦》 | genre=诗 | ci= | rhyme=中华新韵 | date=2016-09-03 | year=2016
20161013-《新韵·候尽灯一盏》.md | title=《新韵·候尽灯一盏》 | genre=诗 | ci= | rhyme=中华新韵 | date=2016-10-22 | year=2016
20161021-《新韵·枕上留一梦》.md | title=《新韵·枕上留一梦》 | genre=诗 | ci= | rhyme=中华新韵 | date=2016-10-07 | year=2016
20170605-《如梦令·四年》.md | title=《如梦令·四年》 | genre=词 | ci=如梦令 | rhyme=未知 | date=2017-06-05 | year=2017
20170610-《点绛唇·情冤》.md | title=《点绛唇·情冤》 | genre=词 | ci=点绛唇 | rhyme=未知 | date=2017-06-10 | year=2017
20170614-《十六字令·吃》.md | title=《十六字令·吃》 | genre=词 | ci=十六字令 | rhyme=未知 | date=2017-06-14 | year=2017
20170709-《新韵·清晨步行偶感》.md | title=《新韵·清晨步行偶感》 | genre=五绝 | ci= | rhyme=中华新韵 | date=2017-07-09 | year=2017
20170713-《忆江南·闺怨》.md | title=《忆江南·闺怨》 | genre=词 | ci=忆江南 | rhyme=未知 | date=2017-07-13 | year=2017
20170717-《新韵·观云偶感》.md | title=《新韵·观云偶感》 | genre=七绝 | ci= | rhyme=中华新韵 | date=2017-07-17 | year=2017
20170821-《新韵·望嘉陵江》.md | title=《新韵·望嘉陵江》 | genre=七绝 | ci= | rhyme=中华新韵 | date=2017-08-21 | year=2017
20180825-《新韵·与韩波兄相逢于广州》.md | title=《新韵·与韩波兄相逢于广州》 | genre=七律 | ci= | rhyme=中华新韵 | date=2018-08-25 | year=2018
20181105-《新韵·冬游五彩滨江公园》.md | title=《新韵·冬游五彩滨江公园》 | genre=七绝 | ci= | rhyme=中华新韵 | date=2018-11-05 | year=2018
20190821-《新韵·贺左伟兄又得一千金》.md | title=《新韵·贺左伟兄又得一千金》 | genre=诗 | ci= | rhyme=中华新韵 | date=2019-08-21 | year=2019
20200407-《新韵·午后入林》.md | title=《新韵·午后入林》 | genre=七绝 | ci= | rhyme=中华新韵 | date=2020-04-07 | year=2020
20200524-《新韵·游大理》.md | title=《新韵·游大理》 | genre=诗 | ci= | rhyme=中华通韵 | date=2020-05 | year=2020
20200728-《新韵·黄昏买菜有感》.md | title=《新韵·黄昏买菜有感》 | genre=五律 | ci= | rhyme=中华新韵 | date=2020-07-28 | year=2020
20201221-《新韵·西北游》.md | title=《新韵·西北游》 | genre=七绝 | ci= | rhyme=中华新韵 | date=2020-12-21 | year=2020
20201222-《新韵·观北海有感》.md | title=《新韵·观北海有感》 | genre=五律 | ci= | rhyme=中华新韵 | date=2020-12-22 | year=2020
20210122-《新韵·七年无痒》.md | title=《新韵·七年无痒》 | genre=七绝 | ci= | rhyme=中华新韵 | date=2021-01-22 | year=2021
20210405-《新韵·夜月观水》.md | title=《新韵·夜月观水》 | genre=七绝 | ci= | rhyme=中华新韵 | date=2021-04-05 | year=2021
20210716-《新韵·观荷》.md | title=《新韵·观荷》 | genre=七绝 | ci= | rhyme=中华新韵 | date=2021-07-16 | year=2021
20220208-《新韵·清晨偶入雪景》.md | title=《新韵·清晨偶入雪景》 | genre=五律 | ci= | rhyme=中华新韵 | date=2022-02-08 | year=2022
20230207-《新韵·云阳龙缸观雪》.md | title=《新韵·云阳龙缸观雪》 | genre=五律 | ci= | rhyme=中华新韵 | date=2023-02-07 | year=2023
20230216-《新韵·游瞿塘峡白帝城》.md | title=《新韵·游瞿塘峡白帝城》 | genre=诗 | ci= | rhyme=中华新韵 | date=2023-02-16 | year=2023
20230404-《新韵·清明游黑山谷》.md | title=《新韵·清明游黑山谷》 | genre=七律 | ci= | rhyme=中华新韵 | date=2023-04-04 | year=2023
20230412-《新韵·初夏入山睡吊床于林》.md | title=《新韵·初夏入山睡吊床于林》 | genre=七绝 | ci= | rhyme=中华新韵 | date=2023-04-12 | year=2023
20230721-《新韵·夏日江边夜游有感》.md | title=《新韵·夏日江边夜游有感》 | genre=诗 | ci= | rhyme=中华新韵 | date=2023-07 | year=2023
20240120-《新韵·再游钓鱼城》.md | title=《新韵·再游钓鱼城》 | genre=七律 | ci= | rhyme=中华新韵 | date=2024-01 | year=2024
20240717-《新韵·中秋前夕赏月》.md | title=《新韵·中秋前夕赏月》 | genre=诗 | ci= | rhyme=中华新韵 | date=2024-07-17 | year=2024
20240801-《新韵·2024中元赏月》.md | title=《新韵·2024中元赏月》 | genre=诗 | ci= | rhyme=中华新韵 | date=2024-08-01 | year=2024
20240827-《通韵·七夕与妻徒步》.md | title=《通韵·七夕与妻徒步》 | genre=诗 | ci= | rhyme=中华通韵 | date=2024-08-27 | year=2024
20240928-《通韵·中卫66号公路观山有感》.md | title=《通韵·中卫66号公路观山有感》 | genre=诗 | ci= | rhyme=中华通韵 | date=2024-09-28 | year=2024
20241113-《通韵·登华山北峰到西峰段》.md | title=《通韵·登华山北峰到西峰段》 | genre=诗 | ci= | rhyme=中华通韵 | date=2024-11-08 | year=2024
20241117-《通韵·三山五岳之华山游记》.md | title=《通韵·三山五岳之华山游记》 | genre=诗 | ci= | rhyme=中华通韵 | date=2024-11-08 | year=2024
20241211-《新韵·念》.md | title=《新韵·念》 | genre=诗 | ci= | rhyme=中华新韵 | date=2024-12-11 | year=2024
20250213-《通韵·歌乐山登山攀岩记》.md | title=《通韵·歌乐山登山攀岩记》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-02 | year=2025
20250218-《通韵·春雨湿冷有感》.md | title=《通韵·春雨湿冷有感》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-02-18 | year=2025
20250323-《通韵·春日踏春记》.md | title=《通韵·春日踏春记》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-03-23 | year=2025
20250513-《通韵·五一黄昏钓鱼记》.md | title=《通韵·五一黄昏钓鱼记》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-05-13 | year=2025
20250519-《通韵·三山五岳之雁荡山游记》.md | title=《通韵·三山五岳之雁荡山游记》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-05-19 | year=2025
20250601-《通韵·三山五岳之嵩山游记》.md | title=《通韵·三山五岳之嵩山游记》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-06-22 | year=2025
20250607-《通韵·端午西湖游记2》.md | title=《通韵·端午西湖游记》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-06-07 | year=2025
20250623-《通韵·端午西湖游记1》.md | title=《通韵·端午西湖游记》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-06-01 | year=2025
20250814-《通韵·夏日乌江画廊游记》.md | title=《通韵·夏日乌江画廊游记》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-08-01 | year=2025
20251104-《通韵·细雨感稼轩事》.md | title=《通韵·细雨感稼轩事》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-11-01 | year=2025
20251114-《通韵·冬日午休负暄有感》.md | title=《通韵·冬日午休负暄有感》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-11-14 | year=2025
20251117-《通韵·周五冬日嘉陵江边观野钓有感》.md | title=《通韵·周五冬日嘉陵江边观野钓有感》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-11-17 | year=2025
20251125-《通韵·采菌记》.md | title=《通韵·采菌记》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-11-08 | year=2025
20251212-《通韵·三山五岳之泰山游记》.md | title=《通韵·三山五岳之泰山游记》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-12-20 | year=2025
20251214-《通韵·冬日济南五龙潭观鱼》.md | title=《通韵·冬日济南五龙潭观鱼》 | genre=诗 | ci= | rhyme=中华通韵 | date=2025-12-21 | year=2025
20260102-《通韵·冬日北海观海之暖阳》.md | title=《通韵·冬日北海观海之暖阳》 | genre=诗 | ci= | rhyme=中华通韵 | date=2026-01 | year=2026
20260103-《通韵·冬日北海观海之浪花》.md | title=《通韵·冬日北海观海之浪花》 | genre=诗 | ci= | rhyme=中华通韵 | date=2026-01 | year=2026
20260103-《通韵·冬日北海观海之蓝天》.md | title=《通韵·冬日北海观海之蓝天》 | genre=诗 | ci= | rhyme=中华通韵 | date=2026-01 | year=2026
20260114-《通韵·冬日上班见阳光透窗而入有感》.md | title=《通韵·冬日上班见阳光透窗而入有感》 | genre=诗 | ci= | rhyme=中华通韵 | date=2026-01-14 | year=2026
20260206-《通韵·八相诗》.md | title=《通韵·八相诗》 | genre=诗 | ci= | rhyme=中华通韵 | date=2026-02-06 | year=2026
20260214-《通韵·张家界武陵源游记》.md | title=《通韵·张家界武陵源游记》 | genre=诗 | ci= | rhyme=中华通韵 | date=2026-02-14 | year=2026
20260216-《通韵·登岳阳楼》.md | title=《通韵·登岳阳楼》 | genre=诗 | ci= | rhyme=中华通韵 | date=2026-02-16 | year=2026
20260218-《平水·三山五岳之黄山游记》.md | title=《平水·三山五岳之黄山游记》 | genre=诗 | ci= | rhyme=平水韵 | date=2026-02-18 | year=2026
20260308-《通韵·春日即景》.md | title=《通韵·春日即景》 | genre=诗 | ci= | rhyme=中华通韵 | date=2026-03-08 | year=2026
20260313-《通韵·春日江边徒步》.md | title=《通韵·春日江边徒步》 | genre=诗 | ci= | rhyme=中华通韵 | date=2026-03-13 | year=2026
